ID,Ticker,Name,Exchange,Importance,Category
134,NIFTYGS4TO8YR.NS,NIFTY GS 4 8YR,NSE,normal,Others
135,NIFTYSMLCAP50.NS,NIFTY SMLCAP 50,NSE,important,Others
136,NIFTYGSCOMPOSITE.NS,NIFTY GS COMPSITE,NSE,normal,Sectoral
137,BHARATBOND-APR31.NS,BHARATBOND-APR31,NSE,normal,Others
138,BSELVI.BO,S&P BSE Low Volatility Index,BSE,normal,Sectoral
139,POWENE.BO,BSE POWER & ENERGY,BSE,normal,Sectoral
140,NIFTY100_ALPHA_30.NS,NIFTY100 ALPHA 30,NSE,normal,Others
141,^CNXFMCG,NIFTY FMCG,NSE,important,Sectoral
142,NIFTYGS8TO13YR.NS,NIFTY GS 8 13YR,NSE,normal,Others
143,NIFTY_HIGHBETA_50.NS,NIFTY HIGHBETA 50,NSE,normal,Others
144,SNXN30.BO,BSE SENSEX NEXT 30,BSE,normal,Others
145,NIFTYGS10YR.NS,NIFTY GS 10YR,NSE,normal,Others
146,NIFTY_COREHOUSING.NS,NIFTY COREHOUSING,NSE,normal,Others
147,^CNXPSE,NIFTY PSE,NSE,normal,Others
148,^CNXSC,NIFTY SMLCAP 100,NSE,important,Others
149,NIFTY_MULTI_INFRA.NS,NIFTY MULTI INFRA,NSE,normal,Sectoral
150,NIFTYSML250MQ_100.NS,NIFTYSML250MQ 100,NSE,normal,Others
151,0P00001G5J.BO,BSE SENSEX PR INR,BSE,normal,Others
152,NIFTYGS10YRCLN.NS,NIFTY GS 10YR CLN,NSE,normal,Others
153,BSESER.BO,S&P BSE Services,BSE,normal,Sectoral
154,LIX15.NS,NIFTY100 LIQ 15,NSE,normal,Others
155,BSE-FMCG.BO,S&P BSE Fast Moving Consumer Go,BSE,normal,Others
156,^CNXMEDIA,NIFTY MEDIA,NSE,normal,Others
157,NIFTY500_EW.NS,NIFTY500 EW,NSE,normal,Others
158,NIFTY_AQL_30.NS,NIFTY AQL 30,NSE,normal,Others
159,NIFTY_TMMQ_50.NS,NIFTY TMMQ 50,NSE,normal,Others
160,INTECO.BO,BSE INTERNET ECONOMY,BSE,normal,Others
161,NIFTYGS11TO15YR.NS,NIFTY GS 11 15YR,NSE,normal,Others
162,BSE-SMEIPO.BO,S&P BSE SMALL AND MEDIUM ENTERP,BSE,normal,Others
163,NIFTY_MICROCAP250.NS,NIFTY MICROCAP250,NSE,important,Broad Market
164,INFRASTRUCTURE.BO,S&P BSE INDIA INFRASTRUCTURE IN,BSE,normal,Sectoral
165,DOLLEX100.BO,S&P BSE DOLLEX-100,BSE,normal,Others
166,DOLLEX30.BO,S&P BSE DOLLEX-30,BSE,normal,Others
167,BSE-AUTO.BO,S&P BSE AUTO INDEX,BSE,normal,Sectoral
168,BSE-SMLCAP.BO,S&P BSE SMALLCAP INDEX,BSE,normal,Others
169,^CNXAUTO,NIFTY AUTO,NSE,important,Sectoral
170,NIFTY_INTERNET.NS,NIFTY INTERNET,NSE,normal,Others
171,NIFTYSMLCAP250.NS,NIFTY SMLCAP 250,NSE,important,Others
172,NIFTY_NEW_CONSUMP.NS,NIFTY NEW CONSUMP,NSE,normal,Others
173,NIFTY_INFRALOG.NS,NIFTY INFRALOG,NSE,normal,Sectoral
174,BSEMOI.BO,S&P BSE Momentum Index,BSE,normal,Others
175,SML250.BO,S&P BSE 250 SmallCap Index,BSE,normal,Others
176,BSE-METAL.BO,S&P BSE METAL INDEX,BSE,normal,Sectoral
177,DOLLEX200.BO,S&P BSE DOLLEX-200,BSE,normal,Others
178,MFG.BO,S&P BSE INDIA MANUFACTURING IND,BSE,normal,Others
179,^CNXMETAL,NIFTY METAL,NSE,important,Sectoral
180,NIFTY50_USD.NS,NIFTY50 USD,NSE,normal,Others
181,NIFTY_EV.NS,NIFTY EV,NSE,normal,Others
182,NIFTY_IND_DEFENCE.NS,NIFTY IND DEFENCE,NSE,normal,Others
183,BHRT22.BO,S&P BSE Bharat 22 Index,BSE,normal,Others
184,TELCOM.BO,S&P BSE Telecommunication,BSE,normal,Others
185,UTILS.BO,S&P BSE UTILITIES,BSE,normal,Sectoral
186,PRECON.BO,BSE PREMIUM CONSUMPTION,BSE,normal,Others
187,NIFTY_WAVES.NS,NIFTY WAVES,NSE,normal,Others
188,NIFTY_MOBILITY.NS,NIFTY MOBILITY,NSE,normal,Sectoral
189,CPSE.BO,S&P BSE CPSE INDEX,BSE,normal,Others
190,NIFTY_INDIA_MFG.NS,NIFTY INDIA MFG,NSE,normal,Others
191,^CNXCONSUM,NIFTY CONSUMPTION,NSE,normal,Others
192,SELIPO.BO,BSE SELECT IPO,BSE,normal,Others
193,NIFTY_MULTI_MFG.NS,NIFTY MULTI MFG,NSE,normal,Others
194,INDSTR.BO,S&P BSE INDUSTRIALS,BSE,normal,Others
195,NIFTY_NONCYC_CONS.NS,NIFTY NONCYC CONS,NSE,normal,Others
196,NIFTY_IND_TOURISM.NS,NIFTY IND TOURISM,NSE,normal,Others
197,NIFTY_MS_IND_CONS.NS,NIFTY MS IND CONS,NSE,normal,Others
198,CONDIS.BO,S&P BSE Consumer Discretionary,BSE,normal,Others
199,^CNXENERGY,NIFTY ENERGY,NSE,important,Sectoral
200,NIFTY_TRANS_LOGIS.NS,NIFTY TRANS LOGIS,NSE,normal,Others
201,NIFTY_CPSE.NS,NIFTY CPSE,NSE,normal,Others
202,NIFTY_MIDSML_HLTH.NS,NIFTY MIDSML HLTH,NSE,normal,Others
203,NIFTY_CONSR_DURBL.NS,NIFTY CONSR DURBL,NSE,normal,Others
204,BSE-POWER.BO,S&P BSE POWER INDEX,BSE,normal,Others
205,NIFTY_HEALTHCARE.NS,NIFTY HEALTHCARE,NSE,normal,Others
206,NIFTY500_HEALTH.NS,NIFTY500 HEALTH,NSE,normal,Others
207,BSE-HC.BO,S&P BSE HEALTH CARE INDEX,BSE,normal,Others
208,BSE-CG.BO,S&P BSE CAPITAL GOODS INDEX,BSE,normal,Sectoral
209,^CNXPHARMA,NIFTY PHARMA,NSE,important,Sectoral
210,BSE-CD.BO,S&P BSE Consumer durables,BSE,normal,Others
211,GC=F,Gold Futures,Commodities,important,Others
212,SI=F,Silver Futures,Commodities,important,Others
